outcome,month,MMWR week,Age group,Vaccine product,Vaccinated with outcome,Fully vaccinated population,Unvaccinated with outcome,Unvaccinated population,Crude vax IR,Crude unvax IR,Crude IRR,Age adjusted vax IR,Age adjusted unvax IR,Age adjusted IRR,Continuity correction,,,,,,,,,
case,21-Apr,202114, 12-17,all_types,7,33757,29900,16606275,20.73643985,180.0524199,8.682899343,,,,0,,,202114,,,,,,
case,21-Apr,202114,18-29,all_types,612,2443743,73216,29536005,25.04355,247.887282,9.898248532,,,,0,,,,,,,,,
case,21-Apr,202114,30-49,all_types,1724,7103674,94266,38843846,24.26913172,242.6793681,9.99950764,,,,0,,,,,,,,,
case,21-Apr,202114,50-64,all_types,1451,7071569,48561,21744160,20.51878445,223.3289306,10.8841209,,,,0,,,,,,,,,
case,21-Apr,202114,65-79,all_types,1566,13927211,14124,7224990,11.24417516,195.4881598,17.38572701,,,,0,,,,,,,,,
case,21-Apr,202114,80+,all_types,720,4776410,3430,2366527,15.07408284,144.9381309,9.615054689,,,,0,,,,,,,,,
case,21-Apr,202114,all_ages_adj,Janssen,1068,2209744,263497,116321803,48.33139042,226.5241711,4.686895392,43.37360094,224.4441036,5.17467074,0,,,,,,,,,
case,21-Apr,202114,all_ages_adj,Moderna,1666,15447158,263497,116321803,10.78515543,226.5241711,21.0033293,24.66904776,224.4441036,9.098207025,0,,,,,,,,,
case,21-Apr,202114,all_ages_adj,Pfizer,3337,17652434,263497,116321803,18.90390866,226.5241711,11.98292772,22.04317954,224.4441036,10.18202039,0,,,,,,,,,
case,21-Apr,202114,all_ages_adj,all_types,6080,35356364,263497,116321803,17.1963384,226.5241711,13.17281422,21.53978089,224.4441036,10.41998082,0,,,,,,,,,
case,21-Apr,202115, 12-17,all_types,5,51331,29458,16352003,9.740702499,180.1491842,18.49447555,,,,0,,,,,,,,,
case,21-Apr,202115,18-29,all_types,703,3056402,67249,27713299,23.00090106,242.6596704,10.55000714,,,,0,,,,,,,,,
case,21-Apr,202115,30-49,all_types,1930,8718267,87892,35886250,22.13742708,244.9183183,11.06354037,,,,0,,,,,,,,,
case,21-Apr,202115,50-64,all_types,1774,9102983,43709,19744593,19.48811725,221.3719979,11.35933221,,,,0,,,,,,,,,
case,21-Apr,202115,65-79,all_types,1834,15879345,13480,6624334,11.54959477,203.4921548,17.61898654,,,,0,,,,,,,,,
case,21-Apr,202115,80+,all_types,851,5181071,3151,2236012,16.42517541,140.9205317,8.579545009,,,,0,,,,,,,,,
case,21-Apr,202115,all_ages_adj,Janssen,1354,2879044,244939,108556491,47.02950007,225.6327537,4.797685568,50.40668459,224.6529103,4.456807904,0,,,,,,,,,
case,21-Apr,202115,all_ages_adj,Moderna,1906,18034151,244939,108556491,10.56883687,225.6327537,21.34887278,11.972977,224.6529103,18.76332931,0,,,,,,,,,
case,21-Apr,202115,all_ages_adj,Pfizer,3822,21025286,244939,108556491,18.17811182,225.6327537,12.41233171,19.26282952,224.6529103,11.66250836,0,,,,,,,,,
case,21-Apr,202115,all_ages_adj,all_types,7097,41989399,244939,108556491,16.90188516,225.6327537,13.3495614,19.11833457,224.6529103,11.75065273,0,,,,,,,,,
case,21-Apr,202116, 12-17,all_types,6,82473,25316,16092497,7.275108217,157.315549,21.62380879,,,,0,,,,,,,,,
case,21-Apr,202116,18-29,all_types,830,3983987,52160,26257278,20.83340131,198.6496849,9.53515376,,,,0,,,,,,,,,
case,21-Apr,202116,30-49,all_types,2235,10902705,71506,33584284,20.4994999,212.9150647,10.3863541,,,,0,,,,,,,,,
case,21-Apr,202116,50-64,all_types,2007,11830825,35147,18317183,16.9641593,191.8799414,11.31090188,,,,0,,,,,,,,,
case,21-Apr,202116,65-79,all_types,1834,17374982,11522,6173154,10.55540662,186.6468907,17.68258651,,,,0,,,,,,,,,
case,21-Apr,202116,80+,all_types,800,5501144,2806,2135745.55,14.54242972,131.3826921,9.034438854,,,,1,,,,,,,,,
case,21-Apr,202116,all_ages_adj,Janssen,1828,4420833,198457,102560141.6,41.34967324,193.5030481,4.679675386,37.25992701,194.3421009,5.2158476,0,,,,,,,,,
case,21-Apr,202116,all_ages_adj,Moderna,2046,20686116,198457,102560141.6,9.890691902,193.5030481,19.56415689,14.70663889,194.3421009,13.21458304,0,,,,,,,,,
case,21-Apr,202116,all_ages_adj,Pfizer,3824,24511366,198457,102560141.6,15.60092571,193.5030481,12.40330553,16.25413993,194.3421009,11.95646781,0,,,,,,,,,
case,21-Apr,202116,all_ages_adj,all_types,7712,49676116,198457,102560141.6,15.52456315,193.5030481,12.46431517,17.19410693,194.3421009,11.30283193,0,,,,,,,,,
case,21-Apr,202117, 12-17,all_types,22,137079,23730,15871199,16.04913955,149.5161141,9.316145182,,,,0,,,,,,,,,
case,21-Apr,202117,18-29,all_types,891,5016216,46950,25119820,17.76239301,186.9042055,10.52246763,,,,0,,,,,,,,,
case,21-Apr,202117,30-49,all_types,2504,13220762,62223,31798006,18.93990679,195.6820814,10.33173413,,,,0,,,,,,,,,
case,21-Apr,202117,50-64,all_types,2156,14775081,29015,17136602,14.59213659,169.3159472,11.60323207,,,,0,,,,,,,,,
case,21-Apr,202117,65-79,all_types,1865,18405706,9780,5810154,10.13272732,168.3260031,16.6121122,,,,0,,,,,,,,,
case,21-Apr,202117,80+,all_types,904,5717849,2350,2055397.55,15.81014119,114.3331128,7.231631359,,,,1,,,,,,,,,
case,21-Apr,202117,all_ages_adj,Janssen,2099,5486878,174048,97791178.55,38.25490561,177.9792437,4.65245544,34.89096277,178.0694903,5.103599219,0,,,,,,,,,
case,21-Apr,202117,all_ages_adj,Moderna,2195,23528260,174048,97791178.55,9.329206665,177.9792437,19.07763973,18.30131737,178.0694903,9.729872815,0,,,,,,,,,
case,21-Apr,202117,all_ages_adj,Pfizer,4035,28196853,174048,97791178.55,14.31010759,177.9792437,12.43730997,15.21075492,178.0694903,11.70681477,0,,,,,,,,,
case,21-Apr,202117,all_ages_adj,all_types,8342,57272693,174048,97791178.55,14.56540554,177.9792437,12.21931262,16.50961564,178.0694903,10.78580472,0,,,,,,,,,
case,21-May,202118, 12-17,all_types,10,233250,18675,15719509,4.287245445,118.8014206,27.71043135,,,,0,,,,,,,,,
case,21-May,202118,18-29,all_types,804,6032987,37062,24305911,13.32673185,152.4814273,11.441772,,,,0,,,,,,,,,
case,21-May,202118,30-49,all_types,2123,15520775,50759,30496792,13.67844067,166.4404571,12.16808707,,,,0,,,,,,,,,
case,21-May,202118,50-64,all_types,1908,17565269,24145,16255308,10.86234432,148.5360966,13.6744051,,,,0,,,,,,,,,
case,21-May,202118,65-79,all_types,1586,19119481,8316,5519246,8.295204247,150.6727549,18.16383906,,,,0,,,,,,,,,
case,21-May,202118,80+,all_types,817,5865952,2026,1990347.55,13.92783303,101.7912676,7.308478452,,,,1,,,,,,,,,
case,21-May,202118,all_ages_adj,Janssen,1581,5509380,140983,94287113.55,28.69651395,149.5252052,5.210570367,26.36077509,151.1793534,5.735011693,0,,,,,,,,,
case,21-May,202118,all_ages_adj,Moderna,1878,26541601,140983,94287113.55,7.075684696,149.5252052,21.13225951,6.990333245,151.1793534,21.6269165,0,,,,,,,,,
