,submission_date,state,tot_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths,conf_cases,prob_cases
6791,2020-01-22,MA,0,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
10588,2020-01-23,MA,0,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
3098,2020-01-24,MA,0,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
52249,2020-01-25,MA,0,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
11614,2020-01-26,MA,0,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
9032,2020-01-27,MA,0,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
44974,2020-01-28,MA,0,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
12456,2020-01-29,MA,0,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
5838,2020-01-30,MA,0,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
55004,2020-01-31,MA,0,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
4995,2020-02-01,MA,1,1.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
5043,2020-02-02,MA,1,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
46286,2020-02-03,MA,1,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
1224,2020-02-04,MA,1,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
6331,2020-02-05,MA,1,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
55053,2020-02-06,MA,1,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
45528,2020-02-07,MA,1,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
13784,2020-02-08,MA,1,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
12329,2020-02-09,MA,1,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
48721,2020-02-10,MA,1,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
13082,2020-02-11,MA,1,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
11190,2020-02-12,MA,1,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
14126,2020-02-13,MA,1,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
11475,2020-02-14,MA,1,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
8246,2020-02-15,MA,1,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
7695,2020-02-16,MA,1,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
10804,2020-02-17,MA,1,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
49543,2020-02-18,MA,1,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
55403,2020-02-19,MA,1,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
3275,2020-02-20,MA,1,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
53858,2020-02-21,MA,1,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
44867,2020-02-22,MA,1,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
8587,2020-02-23,MA,1,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
54850,2020-02-24,MA,1,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
14790,2020-02-25,MA,1,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
52402,2020-02-26,MA,1,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
44830,2020-02-27,MA,1,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
7270,2020-02-28,MA,1,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
46840,2020-02-29,MA,1,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
50002,2020-03-01,MA,1,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
1405,2020-03-02,MA,1,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
696,2020-03-03,MA,2,1.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
51233,2020-03-04,MA,2,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
50146,2020-03-05,MA,2,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
2797,2020-03-06,MA,7,5.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
51558,2020-03-07,MA,9,2.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
12866,2020-03-08,MA,28,19.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
52279,2020-03-09,MA,28,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
62,2020-03-10,MA,91,63.0,,0,0.0,0.0,0.0,0.0,2020-03-12T00:00:00.000,Agree,Agree,,
7682,2020-03-11,MA,95,4.0,,0,0.0,0.0,0.0,0.0,2020-03-13T00:00:00.000,Agree,Agree,,
54297,2020-03-12,MA,108,13.0,,0,0.0,0.0,0.0,0.0,2020-03-14T00:00:00.000,Agree,Agree,,
5293,2020-03-13,MA,109,1.0,,0,0.0,0.0,0.0,0.0,2020-03-15T00:00:00.000,Agree,Agree,,
54558,2020-03-14,MA,109,0.0,,0,0.0,0.0,0.0,0.0,2020-03-16T00:00:00.000,Agree,Agree,,
7297,2020-03-15,MA,164,55.0,,0,0.0,0.0,0.0,0.0,2020-03-17T00:00:00.000,Agree,Agree,,
45064,2020-03-16,MA,197,33.0,,0,0.0,0.0,0.0,0.0,2020-03-18T00:00:00.000,Agree,Agree,,
51372,2020-03-17,MA,218,21.0,,0,0.0,0.0,0.0,0.0,2020-03-19T00:00:00.000,Agree,Agree,,
6964,2020-03-19,MA,328,72.0,,3,3.0,0.0,1.0,0.0,2020-03-21T00:00:00.000,Agree,Agree,,
814,2020-03-20,MA,413,85.0,,5,5.0,0.0,2.0,0.0,2020-03-22T00:00:00.000,Agree,Agree,,
8773,2020-03-21,MA,525,112.0,,7,7.0,0.0,2.0,0.0,2020-03-23T00:00:00.000,Agree,Agree,,
45852,2020-03-22,MA,646,121.0,,11,11.0,0.0,4.0,0.0,2020-03-24T00:00:00.000,Agree,Agree,,
52991,2020-03-23,MA,777,131.0,,17,17.0,0.0,6.0,0.0,2020-03-25T00:00:00.000,Agree,Agree,,
1547,2020-03-24,MA,1159,382.0,,26,26.0,0.0,9.0,0.0,2020-03-26T00:00:00.000,Agree,Agree,,
11697,2020-03-25,MA,1838,679.0,,33,33.0,0.0,7.0,0.0,2020-03-27T00:00:00.000,Agree,Agree,,
7473,2020-03-26,MA,2417,579.0,,43,42.0,1.0,10.0,1.0,2020-03-28T00:00:00.000,Agree,Agree,,
6834,2020-03-27,MA,3240,823.0,,58,57.0,1.0,15.0,0.0,2020-03-29T00:00:00.000,Agree,Agree,,
55706,2020-03-28,MA,4257,1017.0,,73,72.0,1.0,15.0,0.0,2020-03-30T00:00:00.000,Agree,Agree,,
13703,2020-03-29,MA,4955,698.0,,99,97.0,2.0,26.0,1.0,2020-03-31T00:00:00.000,Agree,Agree,,
9966,2020-03-30,MA,5752,797.0,,127,125.0,2.0,28.0,0.0,2020-04-01T00:00:00.000,Agree,Agree,,
49200,2020-04-01,MA,7738,1118.0,,191,189.0,2.0,36.0,0.0,2020-04-03T00:00:00.000,Agree,Agree,,
9738,2020-04-02,MA,8966,1228.0,,234,230.0,4.0,43.0,2.0,2020-04-04T00:00:00.000,Agree,Agree,,
52014,2020-04-03,MA,10402,1436.0,,273,268.0,5.0,39.0,1.0,2020-04-05T00:00:00.000,Agree,Agree,,
46294,2020-04-04,MA,11736,1334.0,,312,306.0,6.0,39.0,1.0,2020-04-06T00:00:00.000,Agree,Agree,,
