,date,fips,mmwr_week,recip_county,recip_state,completeness_pct,administered_dose1_recip,administered_dose1_pop_pct,administered_dose1_recip_5plus,administered_dose1_recip_5pluspop_pct,administered_dose1_recip_12plus,administered_dose1_recip_12pluspop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18pluspop_pct,administered_dose1_recip_65plus,administered_dose1_recip_65pluspop_pct,series_complete_yes,series_complete_pop_pct,series_complete_5plus,series_complete_5pluspop_pct,series_complete_5to17,series_complete_5to17pop_pct,series_complete_12plus,series_complete_12pluspop_pct,series_complete_18plus,series_complete_18pluspop_pct,series_complete_65plus,series_complete_65pluspop_pct,booster_doses,booster_doses_vax_pct,booster_doses_5plus,booster_doses_5plus_vax_pct,booster_doses_12plus,booster_doses_12plus_vax_pct,booster_doses_18plus,booster_doses_18plus_vax_pct,booster_doses_50plus,booster_doses_50plus_vax_pct,booster_doses_65plus,booster_doses_65plus_vax_pct,svi_ctgy,series_complete_pop_pct_svi,series_complete_5pluspop_pct_svi,series_complete_5to17pop_pct_svi,series_complete_12pluspop_pct_svi,series_complete_18pluspop_pct_svi,series_complete_65pluspop_pct_svi,metro_status,series_complete_pop_pct_ur_equity,series_complete_5pluspop_pct_ur_equity,series_complete_5to17pop_pct_ur_equity,series_complete_12pluspop_pct_ur_equity,series_complete_18pluspop_pct_ur_equity,series_complete_65pluspop_pct_ur_equity,booster_doses_vax_pct_svi,booster_doses_12plusvax_pct_svi,booster_doses_18plusvax_pct_svi,booster_doses_65plusvax_pct_svi,booster_doses_vax_pct_ur_equity,booster_doses_12plusvax_pct_ur_equity,booster_doses_18plusvax_pct_ur_equity,booster_doses_65plusvax_pct_ur_equity,census2019,census2019_5pluspop,census2019_5to17pop,census2019_12pluspop,census2019_18pluspop,census2019_65pluspop
798358,2021-10-21T00:00:00.000,UNK,42,Unknown County,MA,89.6,658009,0,,,657051,0,633256,0,175534,0,495115,0,,,,,494522,0,476726,0,135124,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798333,2021-10-21T00:00:00.000,25003,42,Berkshire County,MA,89.6,71720,57.4,,,71513,63.8,66099,63.5,22389,74.8,62949,50.4,,,,,62798,56,58031,55.7,19044,63.6,,,,,,,,,,,,,B,8,,,8,8,7,Metro,4,,,4,4,3,,,,,,,,,124944,,,112060,104096,
798588,2021-10-21T00:00:00.000,25015,42,Hampshire County,MA,89.6,106366,66.1,,,105985,72.3,98690,71.7,28551,99.1,94505,58.8,,,,,94216,64.3,87806,63.8,25127,87.2,,,,,,,,,,,,,A,4,,,4,4,4,Metro,4,,,4,4,4,,,,,,,,,160830,,,146600,137637,
797798,2021-10-21T00:00:00.000,25019,42,Nantucket County,MA,89.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,Non-metro,,,,,,,,,,,,,,,11399,,,9755,9029,
799692,2021-10-21T00:00:00.000,25025,42,Suffolk County,MA,89.6,587411,73.1,,,586130,82.1,554852,82.5,88255,88.9,516959,64.3,,,,,516132,72.3,489805,72.8,78880,79.5,,,,,,,,,,,,,C,12,,,12,12,12,Metro,4,,,4,4,4,,,,,,,,,803907,,,713558,672370,
799552,2021-10-21T00:00:00.000,25013,42,Hampden County,MA,89.6,305672,65.5,,,304953,75.8,283814,77.4,75586,93.5,267079,57.3,,,,,266627,66.2,248807,67.8,66221,81.9,,,,,,,,,,,,,D,16,,,16,16,16,Metro,4,,,4,4,4,,,,,,,,,466372,,,402477,366882,
799898,2021-10-21T00:00:00.000,25007,42,Dukes County,MA,89.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,Non-metro,,,,,,,,,,,,,,,17332,,,15293,14247,
799947,2021-10-21T00:00:00.000,25027,42,Worcester County,MA,89.6,575984,69.3,,,574049,79.8,527812,80.3,127472,95.1,505687,60.9,,,,,504353,70.1,465148,70.8,110570,82.5,,,,,,,,,,,,,B,8,,,8,8,8,Metro,4,,,4,4,4,,,,,,,,,830622,,,719579,657227,
799745,2021-10-21T00:00:00.000,25011,42,Franklin County,MA,89.6,47861,68.2,,,47737,76.3,44537,76.5,14370,88.6,42077,60,,,,,41992,67.1,39323,67.6,12569,77.5,,,,,,,,,,,,,A,4,,,4,4,4,Non-metro,8,,,8,8,8,,,,,,,,,70180,,,62591,58196,
798967,2021-10-21T00:00:00.000,25023,42,Plymouth County,MA,89.6,358739,68.8,,,357736,79.2,330094,80.4,90484,93.3,318005,61,,,,,317339,70.2,293708,71.5,79706,82.2,,,,,,,,,,,,,A,4,,,4,4,4,Metro,4,,,4,4,4,,,,,,,,,521202,,,451846,410745,
