,date,mmwr_week,location,distributed,distributed_janssen,distributed_moderna,distributed_pfizer,distributed_unk_manuf,dist_per_100k,distributed_per_100k_5plus,distributed_per_100k_12plus,distributed_per_100k_18plus,distributed_per_100k_65plus,administered,administered_5plus,administered_12plus,administered_18plus,administered_65plus,administered_janssen,administered_moderna,administered_pfizer,administered_unk_manuf,admin_per_100k,admin_per_100k_5plus,admin_per_100k_12plus,admin_per_100k_18plus,admin_per_100k_65plus,recip_administered,administered_dose1_recip,administered_dose1_pop_pct,administered_dose1_recip_5plus,administered_dose1_recip_5pluspop_pct,administered_dose1_recip_1,administered_dose1_recip_2,administered_dose1_recip_3,administered_dose1_recip_4,administered_dose1_recip_5,administered_dose1_recip_6,series_complete_yes,series_complete_pop_pct,series_complete_5plus,series_complete_5pluspop_pct,series_complete_12plus,series_complete_12pluspop,series_complete_18plus,series_complete_18pluspop,series_complete_65plus,series_complete_65pluspop,series_complete_janssen,series_complete_moderna,series_complete_pfizer,series_complete_unk_manuf,series_complete_janssen_5plus,series_complete_moderna_5plus,series_complete_pfizer_5plus,series_complete_unk_manuf_5plus,series_complete_janssen_12plus,series_complete_moderna_12plus,series_complete_pfizer_12plus,series_complete_unk_manuf_1,series_complete_janssen_18plus,series_complete_moderna_18plus,series_complete_pfizer_18plus,series_complete_unk_manuf_2,series_complete_janssen_65plus,series_complete_moderna_65plus,series_complete_pfizer_65plus,series_complete_unk_manuf_3,additional_doses,additional_doses_vax_pct,additional_doses_5plus,additional_doses_5plus_vax_pct,additional_doses_12plus,additional_doses_12plus_vax_pct,additional_doses_18plus,additional_doses_18plus_vax_pct,additional_doses_50plus,additional_doses_50plus_vax_pct,additional_doses_65plus,additional_doses_65plus_vax_pct,additional_doses_moderna,additional_doses_pfizer,additional_doses_janssen,additional_doses_unk_manuf,second_booster,second_booster_50plus,second_booster_50plus_vax_pct,second_booster_65plus,second_booster_65plus_vax_pct,second_booster_janssen,second_booster_moderna,second_booster_pfizer,second_booster_unk_manuf
35800,2020-12-14T00:00:00.000,51,MA,5850,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
35715,2020-12-15T00:00:00.000,51,MA,39975,0,0,0,0,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
35647,2020-12-16T00:00:00.000,51,MA,59475,0,0,0,0,863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
35583,2020-12-17T00:00:00.000,51,MA,59475,0,0,0,0,863,0,0,0,0,69,0,0,0,0,0,0,69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
35568,2020-12-18T00:00:00.000,51,MA,59475,0,0,0,0,863,0,0,0,0,2261,0,0,0,0,0,0,2261,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
35490,2020-12-19T00:00:00.000,51,MA,59475,0,0,0,0,863,0,0,0,0,6995,0,0,0,0,0,0,6994,1,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
35435,2020-12-20T00:00:00.000,52,MA,59475,0,0,0,0,863,0,0,0,0,19078,0,0,0,0,0,0,19077,1,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
35379,2020-12-21T00:00:00.000,52,MA,80075,0,0,0,0,1162,0,0,0,0,19078,0,0,0,0,0,0,19077,1,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
35282,2020-12-22T00:00:00.000,52,MA,131800,0,0,0,0,1912,0,0,0,0,20872,0,0,0,0,0,0,20871,1,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
35249,2020-12-23T00:00:00.000,52,MA,182350,0,0,0,0,2646,0,0,0,0,26892,0,0,0,0,0,5,26881,6,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
